&#1024;	CYRILLIC CAPITAL LETTER IE WITH GRAVE	
&#1025;	CYRILLIC CAPITAL LETTER IO	
&#1026;	CYRILLIC CAPITAL LETTER DJE	
&#1027;	CYRILLIC CAPITAL LETTER GJE	
&#1028;	CYRILLIC CAPITAL LETTER UKRAINIAN IE	
&#1029;	CYRILLIC CAPITAL LETTER DZE	
&#1030;	CYRILLIC CAPITAL LETTER BYELORUSSIAN-UKRAINIAN I	
&#1031;	CYRILLIC CAPITAL LETTER YI	
&#1032;	CYRILLIC CAPITAL LETTER JE	
&#1033;	CYRILLIC CAPITAL LETTER LJE	
&#1034;	CYRILLIC CAPITAL LETTER NJE	
&#1035;	CYRILLIC CAPITAL LETTER TSHE	
&#1036;	CYRILLIC CAPITAL LETTER KJE	
&#1037;	CYRILLIC CAPITAL LETTER I WITH GRAVE	
&#1038;	CYRILLIC CAPITAL LETTER SHORT U	
&#1039;	CYRILLIC CAPITAL LETTER DZHE	
&#1040;	CYRILLIC CAPITAL LETTER A	
&#1041;	CYRILLIC CAPITAL LETTER BE	
&#1042;	CYRILLIC CAPITAL LETTER VE	
&#1043;	CYRILLIC CAPITAL LETTER GHE	
&#1044;	CYRILLIC CAPITAL LETTER DE	
&#1045;	CYRILLIC CAPITAL LETTER IE	
&#1046;	CYRILLIC CAPITAL LETTER ZHE	
&#1047;	CYRILLIC CAPITAL LETTER ZE	
&#1048;	CYRILLIC CAPITAL LETTER I	
&#1049;	CYRILLIC CAPITAL LETTER SHORT I	
&#1050;	CYRILLIC CAPITAL LETTER KA	
&#1051;	CYRILLIC CAPITAL LETTER EL	
&#1052;	CYRILLIC CAPITAL LETTER EM	
&#1053;	CYRILLIC CAPITAL LETTER EN	
&#1054;	CYRILLIC CAPITAL LETTER O	
&#1055;	CYRILLIC CAPITAL LETTER PE	
&#1056;	CYRILLIC CAPITAL LETTER ER	
&#1057;	CYRILLIC CAPITAL LETTER ES	
&#1058;	CYRILLIC CAPITAL LETTER TE	
&#1059;	CYRILLIC CAPITAL LETTER U	
&#1060;	CYRILLIC CAPITAL LETTER EF	
&#1061;	CYRILLIC CAPITAL LETTER HA	
&#1062;	CYRILLIC CAPITAL LETTER TSE	
&#1063;	CYRILLIC CAPITAL LETTER CHE	
&#1064;	CYRILLIC CAPITAL LETTER SHA	
&#1065;	CYRILLIC CAPITAL LETTER SHCHA	
&#1066;	CYRILLIC CAPITAL LETTER HARD SIGN	
&#1067;	CYRILLIC CAPITAL LETTER YERU	
&#1068;	CYRILLIC CAPITAL LETTER SOFT SIGN	
&#1069;	CYRILLIC CAPITAL LETTER E	
&#1070;	CYRILLIC CAPITAL LETTER YU	
&#1071;	CYRILLIC CAPITAL LETTER YA	
&#1072;	CYRILLIC SMALL LETTER A	
&#1073;	CYRILLIC SMALL LETTER BE	
&#1074;	CYRILLIC SMALL LETTER VE	
&#1075;	CYRILLIC SMALL LETTER GHE	
&#1076;	CYRILLIC SMALL LETTER DE	
&#1077;	CYRILLIC SMALL LETTER IE	
&#1078;	CYRILLIC SMALL LETTER ZHE	
&#1079;	CYRILLIC SMALL LETTER ZE	
&#1080;	CYRILLIC SMALL LETTER I	
&#1081;	CYRILLIC SMALL LETTER SHORT I	
&#1082;	CYRILLIC SMALL LETTER KA	
&#1083;	CYRILLIC SMALL LETTER EL	
&#1084;	CYRILLIC SMALL LETTER EM	
&#1085;	CYRILLIC SMALL LETTER EN	
&#1086;	CYRILLIC SMALL LETTER O	
&#1087;	CYRILLIC SMALL LETTER PE	
&#1088;	CYRILLIC SMALL LETTER ER	
&#1089;	CYRILLIC SMALL LETTER ES	
&#1090;	CYRILLIC SMALL LETTER TE	
&#1091;	CYRILLIC SMALL LETTER U	
&#1092;	CYRILLIC SMALL LETTER EF	
&#1093;	CYRILLIC SMALL LETTER HA	
&#1094;	CYRILLIC SMALL LETTER TSE	
&#1095;	CYRILLIC SMALL LETTER CHE	
&#1096;	CYRILLIC SMALL LETTER SHA	
&#1097;	CYRILLIC SMALL LETTER SHCHA	
&#1098;	CYRILLIC SMALL LETTER HARD SIGN	
&#1099;	CYRILLIC SMALL LETTER YERU	
&#1100;	CYRILLIC SMALL LETTER SOFT SIGN	
&#1101;	CYRILLIC SMALL LETTER E	
&#1102;	CYRILLIC SMALL LETTER YU	
&#1103;	CYRILLIC SMALL LETTER YA	
&#1104;	CYRILLIC SMALL LETTER IE WITH GRAVE	
&#1105;	CYRILLIC SMALL LETTER IO	
&#1106;	CYRILLIC SMALL LETTER DJE	
&#1107;	CYRILLIC SMALL LETTER GJE	
&#1108;	CYRILLIC SMALL LETTER UKRAINIAN IE	
&#1109;	CYRILLIC SMALL LETTER DZE	
&#1110;	CYRILLIC SMALL LETTER BYELORUSSIAN-UKRAINIAN I	
&#1111;	CYRILLIC SMALL LETTER YI	
&#1112;	CYRILLIC SMALL LETTER JE	
&#1113;	CYRILLIC SMALL LETTER LJE	
&#1114;	CYRILLIC SMALL LETTER NJE	
&#1115;	CYRILLIC SMALL LETTER TSHE	
&#1116;	CYRILLIC SMALL LETTER KJE	
&#1117;	CYRILLIC SMALL LETTER I WITH GRAVE	
&#1118;	CYRILLIC SMALL LETTER SHORT U	
&#1119;	CYRILLIC SMALL LETTER DZHE	
&#1120;	CYRILLIC CAPITAL LETTER OMEGA	
&#1121;	CYRILLIC SMALL LETTER OMEGA	
&#1122;	CYRILLIC CAPITAL LETTER YAT	
&#1123;	CYRILLIC SMALL LETTER YAT	
&#1124;	CYRILLIC CAPITAL LETTER IOTIFIED E	
&#1125;	CYRILLIC SMALL LETTER IOTIFIED E	
&#1126;	CYRILLIC CAPITAL LETTER LITTLE YUS	
&#1127;	CYRILLIC SMALL LETTER LITTLE YUS	
&#1128;	CYRILLIC CAPITAL LETTER IOTIFIED LITTLE YUS	
&#1129;	CYRILLIC SMALL LETTER IOTIFIED LITTLE YUS	
&#1130;	CYRILLIC CAPITAL LETTER BIG YUS	
&#1131;	CYRILLIC SMALL LETTER BIG YUS	
&#1132;	CYRILLIC CAPITAL LETTER IOTIFIED BIG YUS	
&#1133;	CYRILLIC SMALL LETTER IOTIFIED BIG YUS	
&#1134;	CYRILLIC CAPITAL LETTER KSI	
&#1135;	CYRILLIC SMALL LETTER KSI	
&#1136;	CYRILLIC CAPITAL LETTER PSI	
&#1137;	CYRILLIC SMALL LETTER PSI	
&#1138;	CYRILLIC CAPITAL LETTER FITA	
&#1139;	CYRILLIC SMALL LETTER FITA	
&#1140;	CYRILLIC CAPITAL LETTER IZHITSA	
&#1141;	CYRILLIC SMALL LETTER IZHITSA	
&#1142;	CYRILLIC CAPITAL LETTER IZHITSA WITH DOUBLE GRAVE ACCENT	
&#1143;	CYRILLIC SMALL LETTER IZHITSA WITH DOUBLE GRAVE ACCENT	
&#1144;	CYRILLIC CAPITAL LETTER UK	
&#1145;	CYRILLIC SMALL LETTER UK	
&#1146;	CYRILLIC CAPITAL LETTER ROUND OMEGA	
&#1147;	CYRILLIC SMALL LETTER ROUND OMEGA	
&#1148;	CYRILLIC CAPITAL LETTER OMEGA WITH TITLO	
&#1149;	CYRILLIC SMALL LETTER OMEGA WITH TITLO	
&#1150;	CYRILLIC CAPITAL LETTER OT	
&#1151;	CYRILLIC SMALL LETTER OT	
&#1152;	CYRILLIC CAPITAL LETTER KOPPA	
&#1153;	CYRILLIC SMALL LETTER KOPPA	
&#1154;	CYRILLIC THOUSANDS SIGN	
&#1155;	COMBINING CYRILLIC TITLO	
&#1156;	COMBINING CYRILLIC PALATALIZATION	
&#1157;	COMBINING CYRILLIC DASIA PNEUMATA	
&#1158;	COMBINING CYRILLIC PSILI PNEUMATA	
&#1159;	COMBINING CYRILLIC POKRYTIE	
&#1160;	COMBINING CYRILLIC HUNDRED THOUSANDS SIGN	
&#1161;	COMBINING CYRILLIC MILLIONS SIGN	
&#1162;	CYRILLIC CAPITAL LETTER SHORT I WITH TAIL	
&#1163;	CYRILLIC SMALL LETTER SHORT I WITH TAIL	
&#1164;	CYRILLIC CAPITAL LETTER SEMISOFT SIGN	
&#1165;	CYRILLIC SMALL LETTER SEMISOFT SIGN	
&#1166;	CYRILLIC CAPITAL LETTER ER WITH TICK	
&#1167;	CYRILLIC SMALL LETTER ER WITH TICK	
&#1168;	CYRILLIC CAPITAL LETTER GHE WITH UPTURN	
&#1169;	CYRILLIC SMALL LETTER GHE WITH UPTURN	
